154	509
162	593
180	676
206	756
245	831
301	894
369	945
444	977
519	984
587	961
641	913
690	858
727	795
748	723
759	653
766	581
761	509
265	432
307	397
359	378
417	379
470	396
580	398
623	381
669	380
710	394
733	429
530	476
535	525
540	573
546	624
472	665
504	672
536	679
564	671
588	663
334	490
369	469
407	470
439	497
406	499
368	498
587	497
618	469
654	467
683	487
657	496
622	498
388	757
442	730
497	719
530	725
562	719
601	727
633	747
604	808
565	833
530	839
494	837
440	815
404	757
497	748
530	750
562	746
615	752
562	796
529	802
495	801
