93	247
96	286
101	326
106	365
121	403
147	435
178	463
213	486
251	492
286	484
316	458
344	429
366	395
377	356
380	317
383	278
384	239
121	238
140	215
170	205
202	207
233	216
274	217
300	208
328	206
354	214
368	235
253	235
254	262
255	289
257	318
219	328
236	335
255	342
272	335
287	327
162	241
179	233
196	231
213	240
197	240
180	241
289	239
306	232
322	232
336	240
321	241
305	240
181	366
208	362
235	362
254	366
273	362
295	362
316	364
296	393
274	410
253	413
232	412
206	398
189	368
235	370
254	373
273	369
307	367
273	389
253	393
233	390
